Assay_Plate_Barcode,Plate_Map_Name
BR00112197,JUMP-MOA_compound_platemap_with_metadata
BR00112197,JUMP-MOA_compound_platemap_with_metadata
BR00112197,JUMP-MOA_compound_platemap_with_metadata
BR00112198,JUMP-MOA_compound_platemap_with_metadata
BR00112199,JUMP-MOA_compound_platemap_with_metadata
BR00112200,JUMP-MOA_compound_platemap_with_metadata
BR00112201,JUMP-MOA_compound_platemap_with_metadata
BR00112202,JUMP-MOA_compound_platemap_with_metadata
BR00112203,JUMP-MOA_compound_platemap_with_metadata
BR00112204,JUMP-MOA_compound_platemap_with_metadata
BR00113818,JUMP-MOA_compound_platemap_with_metadata
BR00113819,JUMP-MOA_compound_platemap_with_metadata
BR00113820,JUMP-MOA_compound_platemap_with_metadata
BR00113821,JUMP-MOA_compound_platemap_with_metadata
