well_position	broad_sample	solvent	InChIKey	pert_iname	pubchem_cid	moa	smiles	mmoles_per_liter	pert_type	control_type
A01	BRD-K80935598-001-01-1	DMSO	ZYVXTMKTGDARKR-UHFFFAOYSA-N	AZ191	72716071.0	DYRK inhibitor	COc1cc(ccc1Nc1nccc(n1)-c1cn(C)c2cnccc12)N1CCN(C)CC1	1.5	trt	
A02	BRD-K85776940-001-01-9	DMSO	ODADKLYLWWCHNB-LDYBVBFYSA-N	delta-Tocotrienol	5282350.0	HMGCR inhibitor	CC(C)=CCC\C(C)=C\CC\C(C)=C\CC[C@]1(C)CCc2cc(O)cc(C)c2O1	1.5	trt	
A03	BRD-K25611237-001-02-1	DMSO	QDBVSOZTVKXUES-UHFFFAOYSA-N	ML324	44143209.0	histone lysine demethylase inhibitor	CN(C)CCCNC(=O)c1ccc(cc1)-c1cc(O)c2ncccc2c1	1.5	trt	
A04	BRD-K66430217-001-03-8	DMSO	CXJCGSPAPOTTSF-VURMDHGXSA-N	KH-CB19	44237094.0	CDC inhibitor	CCOC(=O)c1c(\C(=C/N)C#N)c2ccc(Cl)c(Cl)c2n1C	1.5	trt	
A05	BRD-K38627885-001-01-9	DMSO	RFZQYGBLRIKROZ-PCLIKHOPSA-N	APY0201	56927660.0	phosphoinositide dependent kinase inhibitor	Cc1cccc(\C=N\Nc2cc(N3CCOCC3)n3nc(cc3n2)-c2ccncc2)c1	1.5	trt	
A06	BRD-K67578145-001-09-7	DMSO	DEZZLWQELQORIU-RELWKKBWSA-N	GDC-0879	11717001.0	RAF inhibitor	OCCn1cc(c(n1)-c1ccncc1)-c1ccc2c(CC\C2=N/O)c1	1.5	trt	
A07	BRD-K16803204-001-01-6	DMSO	RIJLVEAXPNLDTC-UHFFFAOYSA-N	filgotinib	49831257.0	JAK inhibitor	O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1	1.5	trt	
A08	BRD-K00818915-003-01-8	DMSO	YGUFCDOEKKVKJK-UHFFFAOYSA-N	SHP099	118238298.0	protein tyrosine kinase inhibitor	CC1(N)CCN(CC1)c1cnc(c(N)n1)-c1cccc(Cl)c1Cl	1.5	trt	
A09	BRD-K19477839-001-07-6	DMSO	BCZUAADEACICHN-UHFFFAOYSA-N	SGX523	24779724.0	hepatocyte growth factor receptor inhibitor	Cn1cc(cn1)-c1ccc2nnc(Sc3ccc4ncccc4c3)n2n1	1.5	trt	
A10	BRD-K97452254-001-01-3	DMSO	BBUVDDPUURMFOX-SAABIXHNSA-N	AMG-925		CDK inhibitor	C[C@H]1CC[C@@H](CC1)n1c2cnccc2c2cnc(Nc3ccc4CN(CCc4n3)C(=O)CO)nc12	1.5	trt	
A11		DMSO							control	negcon
A12	BRD-K63631219-001-01-6	DMSO	XIXXNJFWPAVKFR-UHFFFAOYSA-N	quazinone	57046956.0	phosphodiesterase inhibitor	Cc1c(O)nc2Nc3cccc(Cl)c3Cn12	1.5	trt	
A13	BRD-K98203492-003-04-1	DMSO	WBKCKEHGXNWYMO-UHFFFAOYSA-N	GSK-J4	71729975.0	histone lysine demethylase inhibitor	CCOC(=O)CCNc1cc(nc(n1)-c1ccccn1)N1CCc2ccccc2CC1	1.5	trt	
A14	BRD-K12737986-001-01-4	DMSO	JNAHVYVRKWKWKQ-ZDUSSCGKSA-N	veliparib	11842604.0	PARP inhibitor	C[C@]1(CCCN1)c1nc2c(cccc2[nH]1)C(N)=O	1.5	trt	
A15	BRD-K64881305-001-05-2	DMSO	QJZRFPJCWMNVAV-HHHXNRCGSA-N	ispinesib	6851740.0	kinesin inhibitor	CC(C)[C@@H](N(CCCN)C(=O)c1ccc(C)cc1)c1nc2cc(Cl)ccc2c(=O)n1Cc1ccccc1	1.5	trt	
A16	BRD-K99433989-001-02-9	DMSO	VFSUUTYAEQOIMW-YHBQERECSA-N	SAG		smoothened receptor agonist	CN[C@H]1CC[C@@H](CC1)N(Cc1cccc(c1)-c1ccncc1)C(=O)c1sc2ccccc2c1Cl	1.5	trt	
A17	Compound2	DMSO		Compound2		kinesin inhibitor		1.5	trt	
A18	BRD-K93942811-001-01-3	DMSO	VUIRVWPJNKZOSS-UHFFFAOYSA-N	ML-323	60167849.0	ubiquitin specific protease inhibitor	CC(C)c1ccccc1-c1ncc(C)c(NCc2ccc(cc2)-n2ccnn2)n1	1.5	trt	
A19	BRD-K70446295-001-01-7	DMSO	ZKXZLIFRWWKZRY-KRWDZBQOSA-N	EPZ015666	90241673.0	protein arginine N-methyltransferase inhibitor	O[C@@H](CNC(=O)c1cc(NC2COC2)ncn1)CN1CCc2ccccc2C1	1.5	trt	
A20	BRD-K45909031-001-01-5	DMSO	SDGJBAUIGHSMRI-UHFFFAOYSA-N	WZ4003	72200024.0	AMPK inhibitor	CCC(=O)Nc1cccc(Oc2nc(Nc3ccc(cc3OC)N3CCN(C)CC3)ncc2Cl)c1	1.5	trt	
A21	Compound8	DMSO		Compound8		phosphodiesterase inhibitor		1.5	trt	
A22	BRD-K94455792-001-01-8	DMSO	HQWTUOLCGKIECB-LOYHVIPDSA-N	ICG-001	124518205.0	beta-catenin inhibitor	Oc1ccc(C[C@H]2N3[C@H](CN(Cc4cccc5ccccc45)C2=O)N(CCC3=O)C(=O)NCc2ccccc2)cc1	1.5	trt	
A23	BRD-K84937637-001-11-5	DMSO	QFJCIRLUMZQUOT-HPLJOQBZSA-N	sirolimus	5284616.0	mTOR inhibitor	CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1O	1.5	trt	
