Assay_Plate_Barcode,Plate_Map_Name
BR00115130,JUMP-MOA_compound_platemap_with_metadata
BR00115131,JUMP-MOA_compound_platemap_with_metadata
BR00115125,JUMP-MOA_compound_platemap_with_metadata
BR00115134,JUMP-MOA_compound_platemap_with_metadata
BR00115133,JUMP-MOA_compound_platemap_with_metadata
BR00115132,JUMP-MOA_compound_platemap_with_metadata
BR00115128,JUMP-MOA_compound_platemap_with_metadata
BR00115126,JUMP-MOA_compound_platemap_with_metadata
BR00115127,JUMP-MOA_compound_platemap_with_metadata
BR00115129,JUMP-MOA_compound_platemap_with_metadata
