Assay_Plate_Barcode,Plate_Map_Name
BR00117088,JUMP-MOA_compound_platemap_with_metadata
BR00117089,JUMP-MOA_compound_platemap_with_metadata
BR00117091,JUMP-MOA_compound_platemap_with_metadata
BR00117092,JUMP-MOA_compound_platemap_with_metadata
BR00117093,JUMP-MOA_compound_platemap_with_metadata
BR00117094,JUMP-MOA_compound_platemap_with_metadata
BR00117097,JUMP-MOA_compound_platemap_with_metadata
BR00117098,JUMP-MOA_compound_platemap_with_metadata
BR00117099,JUMP-MOA_compound_platemap_with_metadata
BR00117100,JUMP-MOA_compound_platemap_with_metadata
BR00117101,JUMP-MOA_compound_platemap_with_metadata
BR00117104,JUMP-MOA_compound_platemap_with_metadata
BR00117105,JUMP-MOA_compound_platemap_with_metadata
BR00117106,JUMP-MOA_compound_platemap_with_metadata
BR00117107,JUMP-MOA_compound_platemap_with_metadata
BR00117108,JUMP-MOA_compound_platemap_with_metadata
BR00117109,JUMP-MOA_compound_platemap_with_metadata
BR00117110,JUMP-MOA_compound_platemap_with_metadata
