plate_map_name	well_position	broad_sample	solvent
JUMP-Target-2_compound_platemap	A01	BRD-K09338665-001-07-1	DMSO
JUMP-Target-2_compound_platemap	A02	BRD-K48278478-001-01-2	DMSO
JUMP-Target-2_compound_platemap	A03	BRD-A85242401-001-12-3	DMSO
JUMP-Target-2_compound_platemap	A04	BRD-K93632104-001-17-2	DMSO
JUMP-Target-2_compound_platemap	A05		DMSO
JUMP-Target-2_compound_platemap	A06	BRD-K57313110-001-06-8	DMSO
JUMP-Target-2_compound_platemap	A07	BRD-K25244359-066-04-9	DMSO
JUMP-Target-2_compound_platemap	A08	BRD-K44067360-001-30-3	DMSO
JUMP-Target-2_compound_platemap	A09	BRD-K73276278-305-02-9	DMSO
JUMP-Target-2_compound_platemap	A10	BRD-K59058747-001-22-9	DMSO
JUMP-Target-2_compound_platemap	A11	BRD-K68982262-001-02-9	DMSO
JUMP-Target-2_compound_platemap	A12	BRD-A20697603-001-07-2	DMSO
JUMP-Target-2_compound_platemap	A13	BRD-A54139254-001-10-9	DMSO
JUMP-Target-2_compound_platemap	A14	BRD-K26521938-001-07-2	DMSO
JUMP-Target-2_compound_platemap	A15	BRD-K43330982-001-04-9	DMSO
JUMP-Target-2_compound_platemap	A16	BRD-K05878375-236-05-7	DMSO
JUMP-Target-2_compound_platemap	A17	BRD-K51485109-001-02-9	DMSO
JUMP-Target-2_compound_platemap	A18	BRD-A15397381-001-02-5	DMSO
JUMP-Target-2_compound_platemap	A19	BRD-K15502390-001-19-1	DMSO
JUMP-Target-2_compound_platemap	A20		DMSO
JUMP-Target-2_compound_platemap	A21	BRD-A43005764-003-02-9	DMSO
JUMP-Target-2_compound_platemap	A22	BRD-K38512030-001-01-7	DMSO
JUMP-Target-2_compound_platemap	A23	BRD-K50720187-050-09-0	DMSO
JUMP-Target-2_compound_platemap	A24	BRD-K02554563-001-01-6	DMSO
JUMP-Target-2_compound_platemap	B01	BRD-K68567222-001-02-0	DMSO
JUMP-Target-2_compound_platemap	B02	BRD-K81801188-001-02-8	DMSO
JUMP-Target-2_compound_platemap	B03	BRD-K08953028-001-09-6	DMSO
JUMP-Target-2_compound_platemap	B04	BRD-K47598052-001-14-1	DMSO
JUMP-Target-2_compound_platemap	B05	BRD-K37602296-001-02-9	DMSO
JUMP-Target-2_compound_platemap	B06	BRD-K60659193-001-01-0	DMSO
JUMP-Target-2_compound_platemap	B07	BRD-A07207424-001-15-9	DMSO
JUMP-Target-2_compound_platemap	B08	BRD-K29895144-001-01-0	DMSO
JUMP-Target-2_compound_platemap	B09	BRD-K40109029-001-03-7	DMSO
JUMP-Target-2_compound_platemap	B10	BRD-A09722536-002-18-0	DMSO
JUMP-Target-2_compound_platemap	B11	BRD-K26439554-001-02-9	DMSO
JUMP-Target-2_compound_platemap	B12		DMSO
JUMP-Target-2_compound_platemap	B13		DMSO
JUMP-Target-2_compound_platemap	B14	BRD-K70586315-001-02-4	DMSO
JUMP-Target-2_compound_platemap	B15	BRD-K29151923-001-02-9	DMSO
JUMP-Target-2_compound_platemap	B16	BRD-K17849083-001-32-9	DMSO
JUMP-Target-2_compound_platemap	B17	BRD-K70463136-001-02-9	DMSO
JUMP-Target-2_compound_platemap	B18	BRD-K22482860-001-20-6	DMSO
JUMP-Target-2_compound_platemap	B19	BRD-K74913225-001-16-9	DMSO
JUMP-Target-2_compound_platemap	B20	BRD-K34581968-001-04-6	DMSO
JUMP-Target-2_compound_platemap	B21	BRD-K87158025-003-09-9	DMSO
JUMP-Target-2_compound_platemap	B22	BRD-K38272302-001-02-7	DMSO
JUMP-Target-2_compound_platemap	B23	BRD-K75390981-300-04-9	DMSO
JUMP-Target-2_compound_platemap	B24	BRD-K43570081-001-02-4	DMSO
JUMP-Target-2_compound_platemap	C01	BRD-K91825936-001-03-9	DMSO
JUMP-Target-2_compound_platemap	C02	BRD-K46625559-001-01-8	DMSO
JUMP-Target-2_compound_platemap	C03	BRD-K95785537-001-22-3	DMSO
JUMP-Target-2_compound_platemap	C04	BRD-K10670311-001-15-5	DMSO
JUMP-Target-2_compound_platemap	C05	BRD-K36461289-001-05-8	DMSO
JUMP-Target-2_compound_platemap	C06	BRD-K13094524-001-06-7	DMSO
JUMP-Target-2_compound_platemap	C07	BRD-K35498378-001-06-1	DMSO
JUMP-Target-2_compound_platemap	C08	BRD-K14560436-001-02-9	DMSO
JUMP-Target-2_compound_platemap	C09		DMSO
JUMP-Target-2_compound_platemap	C10	BRD-K15819326-001-02-9	DMSO
JUMP-Target-2_compound_platemap	C11	BRD-K91283740-003-01-6	DMSO
JUMP-Target-2_compound_platemap	C12	BRD-K08893438-001-04-9	DMSO
JUMP-Target-2_compound_platemap	C13	BRD-K66430217-001-03-8	DMSO
JUMP-Target-2_compound_platemap	C14	BRD-K72063794-003-02-9	DMSO
JUMP-Target-2_compound_platemap	C15	BRD-K04210847-001-21-9	DMSO
JUMP-Target-2_compound_platemap	C16		DMSO
JUMP-Target-2_compound_platemap	C17		DMSO
JUMP-Target-2_compound_platemap	C18	BRD-K75748943-300-02-9	DMSO
JUMP-Target-2_compound_platemap	C19	BRD-K68143200-001-11-7	DMSO
JUMP-Target-2_compound_platemap	C20	BRD-K03155172-001-02-2	DMSO
JUMP-Target-2_compound_platemap	C21	BRD-K26970495-001-02-7	DMSO
JUMP-Target-2_compound_platemap	C22	BRD-K07762753-001-04-4	DMSO
JUMP-Target-2_compound_platemap	C23	BRD-K62949423-001-04-9	DMSO
JUMP-Target-2_compound_platemap	C24	BRD-A22032524-074-09-9	DMSO
JUMP-Target-2_compound_platemap	D01	BRD-K16444452-001-12-9	DMSO
JUMP-Target-2_compound_platemap	D02	BRD-K05531427-001-01-7	DMSO
JUMP-Target-2_compound_platemap	D03		DMSO
JUMP-Target-2_compound_platemap	D04	BRD-K97010173-001-04-1	DMSO
JUMP-Target-2_compound_platemap	D05	BRD-K64800655-001-11-9	DMSO
JUMP-Target-2_compound_platemap	D06		DMSO
JUMP-Target-2_compound_platemap	D07	BRD-K64890080-001-14-9	DMSO
JUMP-Target-2_compound_platemap	D08	BRD-K03109492-001-08-9	DMSO
JUMP-Target-2_compound_platemap	D09		DMSO
JUMP-Target-2_compound_platemap	D10	BRD-K68164687-001-02-9	DMSO
JUMP-Target-2_compound_platemap	D11	BRD-K86525559-001-07-8	DMSO
JUMP-Target-2_compound_platemap	D12	BRD-K19477839-001-10-9	DMSO
JUMP-Target-2_compound_platemap	D13	BRD-K38852836-001-04-9	DMSO
JUMP-Target-2_compound_platemap	D14	BRD-K42191735-001-08-7	DMSO
JUMP-Target-2_compound_platemap	D15	BRD-K93942811-001-01-3	DMSO
JUMP-Target-2_compound_platemap	D16	BRD-K64800655-001-11-9	DMSO
JUMP-Target-2_compound_platemap	D17		DMSO
JUMP-Target-2_compound_platemap	D18		DMSO
JUMP-Target-2_compound_platemap	D19	BRD-K58550667-001-12-9	DMSO
JUMP-Target-2_compound_platemap	D20	BRD-K49350383-001-15-2	DMSO
JUMP-Target-2_compound_platemap	D21	BRD-K25243230-001-01-2	DMSO
JUMP-Target-2_compound_platemap	D22		DMSO
JUMP-Target-2_compound_platemap	D23	BRD-K70821460-300-02-4	DMSO
JUMP-Target-2_compound_platemap	D24	BRD-K44771174-066-01-0	DMSO
JUMP-Target-2_compound_platemap	E01		DMSO
JUMP-Target-2_compound_platemap	E02	BRD-K50495309-001-02-0	DMSO
JUMP-Target-2_compound_platemap	E03	BRD-K62810658-001-11-4	DMSO
JUMP-Target-2_compound_platemap	E04	BRD-A30815329-001-10-5	DMSO
JUMP-Target-2_compound_platemap	E05		DMSO
JUMP-Target-2_compound_platemap	E06	BRD-K24283677-001-02-9	DMSO
JUMP-Target-2_compound_platemap	E07	BRD-K29322660-001-01-9	DMSO
JUMP-Target-2_compound_platemap	E08		DMSO
JUMP-Target-2_compound_platemap	E09	BRD-A72351335-001-04-5	DMSO
JUMP-Target-2_compound_platemap	E10	BRD-K76674262-001-05-9	DMSO
JUMP-Target-2_compound_platemap	E11	BRD-K47738867-001-01-5	DMSO
JUMP-Target-2_compound_platemap	E12	BRD-K76908866-001-08-9	DMSO
JUMP-Target-2_compound_platemap	E13		DMSO
JUMP-Target-2_compound_platemap	E14	BRD-K69877120-001-02-9	DMSO
JUMP-Target-2_compound_platemap	E15	BRD-K60150510-001-15-6	DMSO
