Assay_Plate_Barcode,Plate_Map_Name
1031173237,Stain5-AZ-platemap
1031173244,Stain5-AZ-platemap
1031173251,Stain5-AZ-platemap
1031173268,Stain5-AZ-platemap
1031173275,Stain5-AZ-platemap
1031173282,Stain5-AZ-platemap
1031173299,Stain5-AZ-platemap
1031173305,Stain5-AZ-platemap
1031173312,Stain5-AZ-platemap
1031173329,Stain5-AZ-platemap
1031173336,Stain5-AZ-platemap
1031173343,Stain5-AZ-platemap
1031173350,Stain5-AZ-platemap
1031173367,Stain5-AZ-platemap
1031173374,Stain5-AZ-platemap
1031173381,Stain5-AZ-platemap
1031173404,Stain5-AZ-platemap
1031173411,Stain5-AZ-platemap
1031173428,Stain5-AZ-platemap
1031173435,Stain5-AZ-platemap
1031173442,Stain5-AZ-platemap
1031173459,Stain5-AZ-platemap
1031173466,Stain5-AZ-platemap
