Assay_Plate_Barcode,Plate_Map_Name
BR00120547,JUMP-MOA_compound_platemap_with_metadata
BR00120523,JUMP-MOA_compound_platemap_with_metadata
BR00120524,JUMP-MOA_compound_platemap_with_metadata
BR00120525,JUMP-MOA_compound_platemap_with_metadata
BR00120526,JUMP-MOA_compound_platemap_with_metadata
BR00120278,JUMP-MOA_compound_platemap_with_metadata
BR00120527,JUMP-MOA_compound_platemap_with_metadata
BR00120528,JUMP-MOA_compound_platemap_with_metadata
BR00120529,JUMP-MOA_compound_platemap_with_metadata
BR00120530,JUMP-MOA_compound_platemap_with_metadata
BR00120279,JUMP-MOA_compound_platemap_with_metadata
BR00120531,JUMP-MOA_compound_platemap_with_metadata
BR00120532,JUMP-MOA_compound_platemap_with_metadata
BR00120533,JUMP-MOA_compound_platemap_with_metadata
BR00120534,JUMP-MOA_compound_platemap_with_metadata
BR00120280,JUMP-MOA_compound_platemap_with_metadata
BR00120535,JUMP-MOA_compound_platemap_with_metadata
BR00120536,JUMP-MOA_compound_platemap_with_metadata
BR00120537,JUMP-MOA_compound_platemap_with_metadata
BR00120538,JUMP-MOA_compound_platemap_with_metadata
