Assay_Plate_Barcode,Plate_Map_Name
BR00120267,JUMP-MOA_compound_platemap_with_metadata
BR00120269,JUMP-MOA_compound_platemap_with_metadata
BR00120270,JUMP-MOA_compound_platemap_with_metadata
BR00120271,JUMP-MOA_compound_platemap_with_metadata
BR00120272,JUMP-MOA_compound_platemap_with_metadata
BR00120273,JUMP-MOA_compound_platemap_with_metadata
BR00120274,JUMP-MOA_compound_platemap_with_metadata
BR00120275,JUMP-MOA_compound_platemap_with_metadata
BR00120276,JUMP-MOA_compound_platemap_with_metadata
BR00120277,JUMP-MOA_compound_platemap_with_metadata
